,date,team1,score1,team2,score2
261,2016-02-12,Vexed,16,CSGL,6
262,2016-02-12,CSGL,21,Vexed,18
263,2016-02-12,ALTERNATE aTTaX,21,LDLC White,16
264,2016-02-12,ALTERNATE aTTaX,7,LDLC White,16
265,2016-02-12,ALTERNATE aTTaX,16,LDLC White,10
266,2016-02-12,KoN Finland,6,KoN Norway,16
267,2016-02-12,KoN Denmark,16,KoN Norway,10
268,2016-02-12,KoN Denmark,16,KoN Sweden,14
269,2016-02-12,mousesports,16,E-frag.net,5
270,2016-02-12,E-frag.net,13,mousesports,16
271,2016-02-13,HellRaisers,6,FlipSid3,16
272,2016-02-13,HellRaisers,13,FlipSid3,16
273,2016-02-13,Bravado,16,carboN,11
274,2016-02-13,Bravado,16,carboN,10
275,2016-02-13,CSGL,14,E-frag.net,16
276,2016-02-13,E-frag.net,16,CSGL,7
277,2016-02-13,eNergy,16,Aperture,6
278,2016-02-13,eNergy,8,Aperture,16
279,2016-02-13,Aperture,16,eNergy,12
280,2016-02-13,ALTERNATE aTTaX,16,HellRaisers,2
281,2016-02-13,ALTERNATE aTTaX,8,HellRaisers,16
282,2016-02-13,ALTERNATE aTTaX,21,HellRaisers,17
283,2016-02-13,eNergy,14,carboN,16
284,2016-02-13,eNergy,16,carboN,14
285,2016-02-13,carboN,16,eNergy,11
286,2016-02-13,E-frag.net,16,ALTERNATE aTTaX,14
287,2016-02-13,ALTERNATE aTTaX,4,E-frag.net,16
288,2016-02-13,Bravado,16,Aperture,12
289,2016-02-13,Bravado,16,Aperture,7
290,2016-02-13,mousesports,16,FlipSid3,5
291,2016-02-13,FlipSid3,11,mousesports,16
292,2016-02-14,compLexity,13,Tempo Storm,16
293,2016-02-14,CLG,16,Potato Streamers,5
294,2016-02-14,carboN,14,Aperture,16
295,2016-02-14,Aperture,16,carboN,13
296,2016-02-14,Bravado,16,Aperture,12
297,2016-02-14,Aperture,9,Bravado,16
298,2016-02-14,FlipSid3,12,E-frag.net,16
299,2016-02-14,FlipSid3,16,E-frag.net,7
300,2016-02-14,FlipSid3,16,E-frag.net,4
301,2016-02-14,mousesports,16,FlipSid3,6
302,2016-02-14,FlipSid3,9,mousesports,16
303,2016-02-14,ENCE,16,CG,8
304,2016-02-14,ENCE,14,CG,16
305,2016-02-14,ENCE,14,CG,16
306,2016-02-14,DenDD,16,PENTA,8
307,2016-02-14,Publiclir.se,16,Torpedo,14
308,2016-02-14,Publiclir.se,8,DenDD,16
309,2016-02-14,CLG,16,Mild,8
310,2016-02-14,CLG,16,Mild,8
311,2016-02-14,Day Dreamers,6,Cloud9,16
312,2016-02-14,Cloud9,16,Day Dreamers,11
313,2016-02-14,OpTic,16,Enemy,9
314,2016-02-14,Enemy,16,OpTic,9
315,2016-02-14,Enemy,6,OpTic,16
316,2016-02-14,Liquid,13,Tempo Storm,16
317,2016-02-14,Liquid,16,Tempo Storm,14
318,2016-02-14,Tempo Storm,16,Liquid,10
319,2016-02-15,QuetzaL,1,ex-Astral Authority,16
320,2016-02-15,ACE,3,Noble,16
321,2016-02-15,Cloud9,4,OpTic,16
322,2016-02-15,Cloud9,16,OpTic,11
323,2016-02-15,OpTic,10,Cloud9,16
324,2016-02-15,Vault,16,Bee's Money Crew,11
325,2016-02-15,Vault,12,Bee's Money Crew,16
326,2016-02-15,Bee's Money Crew,5,Vault,16
327,2016-02-15,CLG,6,Tempo Storm,16
328,2016-02-15,CLG,12,Tempo Storm,16
329,2016-02-15,ex-Astral Authority,16,Noble,9
330,2016-02-15,Tempo Storm,16,Cloud9,14
331,2016-02-15,Cloud9,17,Tempo Storm,19
332,2016-02-15,fnatic,16,G2,5
333,2016-02-15,gBots,16,nerdRage,0
334,2016-02-15,gBots,16,nerdRage,6
335,2016-02-15,fnatic,16,G2,7
336,2016-02-15,Virtus.pro,5,dignitas,16
337,2016-02-15,Virtus.pro,14,dignitas,16
338,2016-02-16,gBots,7,EU4IA,16
339,2016-02-16,EU4IA,8,gBots,16
340,2016-02-16,Astralis,16,FlipSid3,7
341,2016-02-16,FlipSid3,7,Astralis,16
342,2016-02-16,fnatic,16,EnVyUs,4
343,2016-02-16,k1ck,9,Publiclir.se,16
344,2016-02-16,k1ck,3,Publiclir.se,16
345,2016-02-16,EnVyUs,16,fnatic,5
346,2016-02-17,compLexity,2,Luminosity,16
347,2016-02-17,compLexity,9,Luminosity,16
348,2016-02-17,Splyce,4,OpTic,16
349,2016-02-17,Splyce,6,OpTic,16
350,2016-02-17,Natus Vincere,16,Virtus.pro,9
351,2016-02-17,Virtus.pro,12,Natus Vincere,16
352,2016-02-17,NiP,16,dignitas,8
353,2016-02-17,NiP,16,dignitas,8
354,2016-02-17,FlipSid3,9,E-frag.net,16
355,2016-02-17,E-frag.net,16,FlipSid3,19
356,2016-02-18,CLG,5,Renegades,16
357,2016-02-18,CLG,6,Renegades,16
358,2016-02-18,Enemy,12,compLexity,16
359,2016-02-18,compLexity,13,Enemy,16
360,2016-02-18,AlienTech,10,nerdRage,16
361,2016-02-18,AlienTech,3,nerdRage,16
362,2016-02-18,Imp?rio Multim?dia,13,Galatics,16
363,2016-02-18,Galatics,16,Imp?rio Multim?dia,4
364,2016-02-19,Enemy,16,Bee's Money Crew,5
365,2016-02-19,Bee's Money Crew,10,Enemy,16
366,2016-02-19,Splyce,10,AGG,16
367,2016-02-19,Splyce,12,AGG,16
368,2016-02-19,Publiclir.se,19,Optimum,16
369,2016-02-19,Torpedo,16,DollarHouse,2
370,2016-02-19,fnatic,10,EnVyUs,16
371,2016-02-19,G2,17,Astralis,19
372,2016-02-19,Rize,8,RCTIC,16
373,2016-02-19,FlipSid3,16,Orgless,9
374,2016-02-19,FlipSid3,20,Orgless,22
375,2016-02-19,FlipSid3,10,Orgless,16
376,2016-02-19,Preparation,16,Temporary orgless,12
377,2016-02-19,RCTIC,16,Torpedo,10
378,2016-02-19,Torpedo,12,RCTIC,16
379,2016-02-19,Publiclir.se,16,Preparation,6
380,2016-02-19,Publiclir.se,16,Preparation,13
381,2016-02-19,dignitas,16,gBots,14
382,2016-02-19,Astralis,16,x6tence,2
383,2016-02-19,OnlineRol,16,Red Panda,5
384,2016-02-19,Red Panda,11,OnlineRol,16
385,2016-02-19,Optimum,16,Temporary orgless,3
386,2016-02-19,Temporary orgless,2,Optimum,16
387,2016-02-19,Rize,19,DollarHouse,17
388,2016-02-19,DollarHouse,16,Rize,13
389,2016-02-19,Rize,2,DollarHouse,16
390,2016-02-19,dignitas,16,Vexed,7
391,2016-02-19,fnatic,16,EnVyUs,13
392,2016-02-19,KoN Norway,16,KoN Finland,11
393,2016-02-19,Galatics,13,AlienTech,16
394,2016-02-19,AlienTech,16,Galatics,9
395,2016-02-19,Optimum,9,Preparation,16
396,2016-02-19,Optimum,11,Preparation,16
397,2016-02-19,KoN Sweden,16,KoN Norway,14
398,2016-02-19,x6tence,2,Vexed,16
399,2016-02-19,KoN Sweden,21,KoN Denmark,19
400,2016-02-19,fnatic,16,gBots,13
401,2016-02-19,Torpedo,12,DollarHouse,16
402,2016-02-19,DollarHouse,4,Torpedo,16
403,2016-02-19,Torpedo,16,DollarHouse,6
404,2016-02-20,Noble,6,Liquid,16
405,2016-02-20,Liquid,16,Noble,9
406,2016-02-20,x6tence,3,G2,16
407,2016-02-20,Games4u,14,TzatzikiKlubben,16
408,2016-02-20,BX3,19,Recursive,15
409,2016-02-20,gBots,4,EnVyUs,16
410,2016-02-20,dream[S]cape,16,nxl,13
411,2016-02-20,LGB fe,2,Raepmashaekel,16
412,2016-02-20,Property fe,4,DenDD,16
413,2016-02-20,G2,16,Vexed,9
414,2016-02-20,Risky,13,MiTH,16
415,2016-02-20,TzatzikiKlubben,6,Raepmashaekel,16
416,2016-02-20,Raepmashaekel,16,TzatzikiKlubben,5
417,2016-02-20,BX3,14,DenDD,16
418,2016-02-20,BX3,7,DenDD,16
419,2016-02-20,fnatic,19,dignitas,17
420,2016-02-20,MiTH,16,dream[S]cape,8
421,2016-02-20,nxl,15,Risky,19
422,2016-02-20,Astralis,16,EnVyUs,9
423,2016-02-20,Games4u,16,LGB fe,3
424,2016-02-20,LGB fe,7,Games4u,16
425,2016-02-20,Recursive,16,Property fe,3
426,2016-02-20,Recursive,16,Property fe,8
427,2016-02-20,dignitas,16,Vexed,5
428,2016-02-20,G2,16,Astralis,13
429,2016-02-20,Recursive,14,BX3,16
430,2016-02-20,BX3,16,Recursive,12
431,2016-02-20,Games4u,12,TzatzikiKlubben,16
432,2016-02-20,TzatzikiKlubben,14,Games4u,16
433,2016-02-20,Games4u,16,TzatzikiKlubben,9
434,2016-02-20,fnatic,16,EnVyUs,7
435,2016-02-21,dignitas,11,Astralis,16
436,2016-02-21,Games4u,16,RCTIC,12
437,2016-02-21,RCTIC,16,Games4u,10
438,2016-02-21,RCTIC,16,Games4u,4
439,2016-02-21,Publiclir.se,25,BX3,21
440,2016-02-21,Publiclir.se,10,BX3,16
441,2016-02-21,BX3,22,Publiclir.se,18
442,2016-02-21,MVP.karnal,16,Threats,7
443,2016-02-21,dignitas,12,Astralis,16
444,2016-02-21,Infused,6,Barrage,16
445,2016-02-21,Infused,6,Barrage,16
446,2016-02-21,G2,7,fnatic,16
447,2016-02-21,J2G,19,Expendables,17
448,2016-02-21,fnatic,16,G2,8
449,2016-02-21,Refuse,13,Cl4nless,16
450,2016-02-21,Refuse,16,Cl4nless,14
451,2016-02-21,Refuse,16,Cl4nless,1
452,2016-02-21,DenDD,19,Preparation,22
453,2016-02-21,DenDD,14,Preparation,16
454,2016-02-21,J2G,9,MVP.karnal,16
455,2016-02-21,Raepmashaekel,13,Torpedo,16
456,2016-02-21,Torpedo,14,Raepmashaekel,16
457,2016-02-21,Torpedo,16,Raepmashaekel,5
458,2016-02-21,Astralis,14,fnatic,16
459,2016-02-21,Expendables,12,Threats,16
460,2016-02-21,fnatic,16,Astralis,13
461,2016-02-21,BX3,16,Torpedo,4
462,2016-02-21,Torpedo,12,BX3,16
463,2016-02-21,RCTIC,16,Preparation,11
464,2016-02-21,RCTIC,16,Preparation,11
465,2016-02-21,NRG,16,Splyce,13
466,2016-02-21,Splyce,5,NRG,16
467,2016-02-21,OpTic,16,Torment,9
468,2016-02-21,Torment,3,OpTic,16
469,2016-02-21,Cloud9,16,Random 5,12
470,2016-02-21,Cloud9,16,Random 5,1
471,2016-02-21,TSM,7,Renegades,16
472,2016-02-21,TSM,9,Renegades,16
473,2016-02-21,Liquid,16,ex-Astral Authority,14
474,2016-02-21,Liquid,16,ex-Astral Authority,4
475,2016-02-21,CLG,16,Just Make it Fast,5
476,2016-02-21,CLG,16,Just Make it Fast,6
477,2016-02-21,AGG,16,Selfless,10
478,2016-02-21,AGG,16,Selfless,3
479,2016-02-21,Echo Fox,3,Tempo Storm,16
480,2016-02-21,Tempo Storm,16,Echo Fox,9
481,2016-02-21,NRG,16,Cloud9,9
482,2016-02-21,Cloud9,16,NRG,9
483,2016-02-21,Cloud9,16,NRG,14
484,2016-02-21,Preparation,17,Torpedo,19
485,2016-02-21,BX3,6,RCTIC,16
486,2016-02-21,BX3,5,RCTIC,16
487,2016-02-21,Renegades,10,Liquid,16
488,2016-02-21,Liquid,16,Renegades,13
489,2016-02-21,Tempo Storm,16,OpTic,10
490,2016-02-21,OpTic,22,Tempo Storm,19
491,2016-02-21,Tempo Storm,16,OpTic,1
