date,team1,score1,team2,score2
2016-02-16,k1ck,3,Publiclir.se,16
2016-02-16,fnatic,5,EnVyUs,16
2016-02-17,compLexity,2,Luminosity,16
2016-02-17,compLexity,9,Luminosity,16
2016-02-17,Splyce,4,OpTic,16
2016-02-17,OpTic,16,Splyce,6
2016-02-17,Virtus.pro,9,Natus Vincere,16
2016-02-17,Natus Vincere,16,Virtus.pro,12
2016-02-17,NiP,16,dignitas,8
2016-02-17,NiP,16,dignitas,8
2016-02-17,E-frag.net,16,FlipSid3,9
2016-02-17,FlipSid3,19,E-frag.net,16
2016-02-18,CLG,5,Renegades,16
2016-02-18,Renegades,16,CLG,6
2016-02-18,compLexity,16,Enemy,12
2016-02-18,compLexity,13,Enemy,16
2016-02-18,AlienTech,10,nerdRage,16
2016-02-18,AlienTech,3,nerdRage,16
2016-02-18,Galatics,16,Imp?rio Multim?dia,13
2016-02-18,Imp?rio Multim?dia,4,Galatics,16
2016-02-19,Enemy,16,Bee's Money Crew,5
2016-02-19,Bee's Money Crew,10,Enemy,16
2016-02-19,AGG,16,Splyce,10
2016-02-19,Splyce,12,AGG,16
2016-02-19,FlipSid3,16,Orgless,9
2016-02-19,FlipSid3,20,Orgless,22
2016-02-19,Orgless,16,FlipSid3,10
2016-02-19,OnlineRol,16,Red Panda,5
2016-02-19,OnlineRol,16,Red Panda,11
2016-02-19,KoN Norway,16,KoN Finland,11
2016-02-19,Galatics,13,AlienTech,16
2016-02-19,AlienTech,16,Galatics,9
2016-02-19,KoN Sweden,16,KoN Norway,14
2016-02-19,KoN Denmark,19,KoN Sweden,21
2016-02-20,Liquid,16,Noble,6
2016-02-20,Liquid,16,Noble,9
2016-02-20,nxl,13,dream[S]cape,16
2016-02-20,Risky,13,MiTH,16
2016-02-20,MiTH,16,dream[S]cape,8
2016-02-20,nxl,15,Risky,19
2016-02-21,Threats,7,MVP.karnal,16
2016-02-21,J2G,19,Expendables,17
2016-02-21,MVP.karnal,16,J2G,9
2016-02-21,Expendables,12,Threats,16
2016-02-21,Splyce,13,NRG,16
2016-02-21,Splyce,5,NRG,16
2016-02-21,Torment,9,OpTic,16
2016-02-21,OpTic,16,Torment,3
2016-02-21,Cloud9,16,Random 5,12
2016-02-21,Random 5,1,Cloud9,16
2016-02-21,TSM,7,Renegades,16
2016-02-21,TSM,9,Renegades,16
2016-02-21,ex-Astral Authority,14,Liquid,16
2016-02-21,Liquid,16,ex-Astral Authority,4
2016-02-21,Just Make it Fast,5,CLG,16
2016-02-21,CLG,16,Just Make it Fast,6
2016-02-21,AGG,16,Selfless,10
2016-02-21,Selfless,3,AGG,16
2016-02-21,Tempo Storm,16,Echo Fox,3
2016-02-21,Echo Fox,9,Tempo Storm,16
2016-02-21,Cloud9,9,NRG,16
2016-02-21,Cloud9,16,NRG,9
2016-02-21,NRG,14,Cloud9,16
2016-02-21,Liquid,16,Renegades,10
2016-02-21,Liquid,16,Renegades,13
2016-02-21,OpTic,10,Tempo Storm,16
2016-02-21,Tempo Storm,19,OpTic,22
2016-02-21,Tempo Storm,16,OpTic,1
2016-02-21,k1ck,16,Imp?rio Multim?dia,3
