date,team1,score1,team2,score2
2016-02-13,HellRaisers,6,FlipSid3,16
2016-02-13,HellRaisers,13,FlipSid3,16
2016-02-13,Bravado,16,carboN,11
2016-02-13,Bravado,16,carboN,10
2016-02-13,CSGL,14,E-frag.net,16
2016-02-13,E-frag.net,16,CSGL,7
2016-02-13,eNergy,16,Aperture,6
2016-02-13,eNergy,8,Aperture,16
2016-02-13,Aperture,16,eNergy,12
2016-02-13,ALTERNATE aTTaX,16,HellRaisers,2
2016-02-13,ALTERNATE aTTaX,8,HellRaisers,16
2016-02-13,ALTERNATE aTTaX,21,HellRaisers,17
2016-02-13,eNergy,14,carboN,16
2016-02-13,eNergy,16,carboN,14
2016-02-13,carboN,16,eNergy,11
2016-02-13,E-frag.net,16,ALTERNATE aTTaX,14
2016-02-13,ALTERNATE aTTaX,4,E-frag.net,16
2016-02-13,Bravado,16,Aperture,12
2016-02-13,Bravado,16,Aperture,7
2016-02-13,mousesports,16,FlipSid3,5
2016-02-13,FlipSid3,11,mousesports,16
2016-02-14,Aperture,16,carboN,14
2016-02-14,Aperture,16,carboN,13
2016-02-14,Aperture,12,Bravado,16
2016-02-14,Bravado,16,Aperture,9
2016-02-14,FlipSid3,12,E-frag.net,16
2016-02-14,E-frag.net,7,FlipSid3,16
2016-02-14,FlipSid3,16,E-frag.net,4
2016-02-14,mousesports,16,FlipSid3,6
2016-02-14,mousesports,16,FlipSid3,9
2016-02-19,Optimum,16,Publiclir.se,19
2016-02-19,Torpedo,16,DollarHouse,2
2016-02-19,fnatic,10,EnVyUs,16
2016-02-19,G2,17,Astralis,19
2016-02-19,RCTIC,16,Rize,8
2016-02-19,Temporary orgless,12,Preparation,16
2016-02-19,RCTIC,16,Torpedo,10
2016-02-19,RCTIC,16,Torpedo,12
2016-02-19,Publiclir.se,16,Preparation,6
2016-02-19,Preparation,13,Publiclir.se,16
2016-02-19,dignitas,16,gBots,14
2016-02-19,x6tence,2,Astralis,16
2016-02-19,Optimum,16,Temporary orgless,3
2016-02-19,Optimum,16,Temporary orgless,2
2016-02-19,DollarHouse,17,Rize,19
2016-02-19,Rize,13,DollarHouse,16
2016-02-19,Rize,2,DollarHouse,16
2016-02-19,Vexed,7,dignitas,16
2016-02-19,fnatic,16,EnVyUs,13
2016-02-19,Preparation,16,Optimum,9
2016-02-19,Optimum,11,Preparation,16
2016-02-19,x6tence,2,Vexed,16
2016-02-19,fnatic,16,gBots,13
2016-02-19,Torpedo,12,DollarHouse,16
2016-02-19,DollarHouse,4,Torpedo,16
2016-02-19,Torpedo,16,DollarHouse,6
2016-02-20,x6tence,3,G2,16
2016-02-20,Games4u,14,TzatzikiKlubben,16
2016-02-20,BX3,19,Recursive,15
2016-02-20,EnVyUs,16,gBots,4
2016-02-20,LGB fe,2,Raepmashaekel,16
2016-02-20,Property fe,4,DenDD,16
2016-02-20,G2,16,Vexed,9
2016-02-20,TzatzikiKlubben,6,Raepmashaekel,16
2016-02-20,TzatzikiKlubben,5,Raepmashaekel,16
2016-02-20,DenDD,16,BX3,14
2016-02-20,BX3,7,DenDD,16
2016-02-20,dignitas,17,fnatic,19
2016-02-20,EnVyUs,9,Astralis,16
2016-02-20,Games4u,16,LGB fe,3
2016-02-20,LGB fe,7,Games4u,16
2016-02-20,Recursive,16,Property fe,3
2016-02-20,Recursive,16,Property fe,8
2016-02-20,dignitas,16,Vexed,5
2016-02-20,Astralis,13,G2,16
2016-02-20,BX3,16,Recursive,14
2016-02-20,BX3,16,Recursive,12
2016-02-20,Games4u,12,TzatzikiKlubben,16
2016-02-20,TzatzikiKlubben,14,Games4u,16
2016-02-20,Games4u,16,TzatzikiKlubben,9
2016-02-20,fnatic,16,EnVyUs,7
2016-02-21,dignitas,11,Astralis,16
2016-02-21,RCTIC,12,Games4u,16
2016-02-21,RCTIC,16,Games4u,10
2016-02-21,RCTIC,16,Games4u,4
2016-02-21,Publiclir.se,25,BX3,21
2016-02-21,BX3,16,Publiclir.se,10
2016-02-21,Publiclir.se,18,BX3,22
2016-02-21,Astralis,16,dignitas,12
2016-02-21,Barrage,16,Infused,6
2016-02-21,Infused,6,Barrage,16
2016-02-21,fnatic,16,G2,7
2016-02-21,fnatic,16,G2,8
2016-02-21,Refuse,13,Cl4nless,16
2016-02-21,Refuse,16,Cl4nless,14
2016-02-21,Cl4nless,1,Refuse,16
2016-02-21,DenDD,19,Preparation,22
2016-02-21,Preparation,16,DenDD,14
2016-02-21,Torpedo,16,Raepmashaekel,13
2016-02-21,Torpedo,14,Raepmashaekel,16
2016-02-21,Torpedo,16,Raepmashaekel,5
2016-02-21,fnatic,16,Astralis,14
2016-02-21,fnatic,16,Astralis,13
2016-02-21,Torpedo,4,BX3,16
2016-02-21,BX3,16,Torpedo,12
2016-02-21,RCTIC,16,Preparation,11
2016-02-21,Preparation,11,RCTIC,16
2016-02-21,Torpedo,19,Preparation,17
2016-02-21,BX3,6,RCTIC,16
2016-02-21,BX3,5,RCTIC,16
2016-02-25,SK,10,Vexed,16
2016-02-26,HellRaisers,22,Liquid,20
2016-02-26,YP,1,mousesports,16
2016-02-26,FlipSid3,16,Selfless,13
2016-02-26,G2,16,Tempo Storm,13
2016-02-26,YP,2,Liquid,16
2016-02-26,mousesports,19,HellRaisers,15
2016-02-27,CLG,14,Splyce,16
2016-02-27,dignitas,9,Renegades,16
2016-02-27,Gambit,16,Cloud9,9
2016-02-27,ENCE,16,A LA MIX,2
2016-02-27,Ancient,1,Preparation,16
2016-02-27,A LA MIX,6,Ancient,16
2016-02-27,ENCE,17,Preparation,19
2016-02-27,Preparation,16,A LA MIX,3
2016-02-27,ENCE,14,Ancient,16
2016-02-27,Tempo Storm,16,Selfless,4
2016-02-27,ALTERNATE aTTaX,16,AliGon,9
2016-02-27,G2,16,FlipSid3,14
2016-02-27,Torpedo,17,Orgless,19
2016-02-27,SK,13,CLG,16
2016-02-27,ALTERNATE aTTaX,16,Orgless,13
2016-02-27,Torpedo,9,AliGon,16
2016-02-27,Splyce,16,Vexed,7
2016-02-27,dignitas,13,Cloud9,16
2016-02-27,AliGon,4,Orgless,16
2016-02-27,Torpedo,13,ALTERNATE aTTaX,16
2016-02-27,Renegades,11,Gambit,16
2016-02-27,HellRaisers,4,Liquid,16
2016-02-27,HellRaisers,16,Liquid,7
2016-02-27,HellRaisers,14,Liquid,16
2016-02-28,Orgless,16,Preparation,14
2016-02-28,Orgless,16,Preparation,10
2016-02-28,Tempo Storm,5,FlipSid3,16
2016-02-28,FlipSid3,16,Tempo Storm,5
2016-02-28,ALTERNATE aTTaX,5,Ancient,16
2016-02-28,Ancient,16,ALTERNATE aTTaX,3
2016-02-28,CLG,16,Vexed,13
2016-02-28,CLG,3,Vexed,16
2016-02-28,CLG,16,Vexed,13
2016-02-28,ALTERNATE aTTaX,8,Preparation,16
2016-02-28,ALTERNATE aTTaX,12,Preparation,16
2016-02-28,Ancient,16,Orgless,6
2016-02-28,Orgless,11,Ancient,16
2016-02-28,Renegades,14,Cloud9,16
2016-02-28,Cloud9,19,Renegades,16
2016-03-02,Natus Vincere,10,fnatic,16
2016-03-02,NiP,8,mousesports,16
2016-03-02,Natus Vincere,11,Luminosity,16
2016-03-02,TheMongolz,7,mousesports,16
2016-03-02,fnatic,12,Luminosity,16
2016-03-02,NiP,16,TheMongolz,5
2016-03-02,Natus Vincere,16,mousesports,6
2016-03-02,NiP,14,fnatic,16
2016-03-02,TheMongolz,6,Luminosity,16
2016-03-02,NiP,13,Natus Vincere,16
2016-03-02,Luminosity,16,mousesports,14
2016-03-02,fnatic,16,TheMongolz,4
2016-03-02,Natus Vincere,16,TheMongolz,6
2016-03-02,NiP,16,Luminosity,13
2016-03-02,fnatic,19,mousesports,17
2016-03-03,E-frag.net,5,FaZe,16
2016-03-03,EnVyUs,11,Astralis,16
2016-03-03,Virtus.pro,6,Astralis,16
2016-03-03,Tempo Storm,16,E-frag.net,13
2016-03-03,EnVyUs,14,Virtus.pro,16
2016-03-03,Tempo Storm,16,FaZe,19
2016-03-03,E-frag.net,5,Astralis,16
2016-03-03,FaZe,12,EnVyUs,16
2016-03-03,Astralis,16,FaZe,5
2016-03-03,Virtus.pro,9,Tempo Storm,16
2016-03-03,EnVyUs,7,Tempo Storm,16
2016-03-03,Virtus.pro,16,E-frag.net,9
2016-03-03,Tempo Storm,12,Astralis,16
2016-03-03,FaZe,13,Virtus.pro,16
2016-03-03,EnVyUs,19,E-frag.net,22
2016-03-04,Tempo Storm,10,Natus Vincere,16
2016-03-04,Natus Vincere,15,Tempo Storm,19
2016-03-04,Natus Vincere,16,Tempo Storm,13
2016-03-04,fnatic,16,Virtus.pro,5
2016-03-04,fnatic,16,Virtus.pro,8
2016-03-04,Luminosity,22,Natus Vincere,19
2016-03-04,Natus Vincere,12,Luminosity,16
2016-03-04,fnatic,16,Astralis,6
2016-03-04,Astralis,16,fnatic,12
2016-03-04,fnatic,16,Astralis,7
2016-03-05,Millenium fe,0,Karma,16
2016-03-05,WRTP,16,Santos.DeX fe,1
2016-03-05,Karma,6,WRTP,16
2016-03-05,Santos.DeX fe,12,Millenium fe,16
2016-03-05,Millenium fe,14,Karma,16
2016-03-05,Exertus fe,16,LDLC fe,13
2016-03-05,CLG Red,16,Elysium,8
2016-03-05,fnatic,19,Luminosity,17
2016-03-05,fnatic,16,Luminosity,3
2016-03-05,Luminosity,15,fnatic,19
2016-03-05,CLG Red,16,Exertus fe,5
2016-03-05,Elysium,8,LDLC fe,16
2016-03-05,Exertus fe,3,LDLC fe,16
2016-03-06,Karma,25,CLG Red,23
2016-03-06,CLG Red,16,Karma,11
2016-03-06,Karma,17,CLG Red,19
2016-03-06,WRTP,16,LDLC fe,3
2016-03-06,WRTP,16,LDLC fe,6
2016-03-06,CLG Red,10,WRTP,16
2016-03-06,WRTP,16,CLG Red,8
2016-03-12,GameAgents,16,n1ce,13
2016-03-12,GameAgents,8,n1ce,16
2016-03-12,n1ce,15,GameAgents,19
2016-03-17,Immunity,11,Virtus.pro,16
2016-03-17,Immunity,11,Virtus.pro,16
2016-03-17,Natus Vincere,16,FlipSid3,10
2016-03-17,Natus Vincere,9,FlipSid3,16
2016-03-17,FlipSid3,6,Natus Vincere,16
2016-03-17,Torpedo,6,Astralis,16
2016-03-17,Torpedo,2,Astralis,16
2016-03-17,NRG,16,EnVyUs,13
2016-03-17,EnVyUs,16,NRG,3
2016-03-17,EnVyUs,19,NRG,22
2016-03-18,Natus Vincere,16,Virtus.pro,14
2016-03-18,Natus Vincere,16,Virtus.pro,12
2016-03-18,NRG,3,Astralis,16
2016-03-18,Astralis,16,NRG,9
2016-03-18,AlienTech,16,RedLine,3
2016-03-18,FTW.PRO,19,AlienTech,22
2016-03-18,Astralis,9,Natus Vincere,16
2016-03-18,Natus Vincere,12,Astralis,16
2016-03-18,Natus Vincere,16,Astralis,5
2016-03-18,FTW.PRO,16,3R2L,11
2016-03-18,3R2L,19,RedLine,16
2016-03-18,AlienTech,16,3R2L,8
2016-03-19,Galatics,5,Imp?rio Multim?dia,16
2016-03-19,EasyMind,12,Imp?rio Multim?dia,16
2016-03-19,PANTERS,16,demise.no,0
2016-03-19,PANTERS,16,demise.no,9
2016-03-19,PANTERS,16,demise.no,14
2016-03-19,Galatics,12,EasyMind,16
2016-03-19,FTW.Evo Prinfor,16,EasyMind,3
2016-03-19,FTW.Evo Prinfor,12,Imp?rio Multim?dia,16
2016-03-19,AlienTech,16,FTW.Evo Prinfor,11
2016-03-19,FTW.Evo Prinfor,4,AlienTech,16
2016-03-20,FTW.PRO,10,Imp?rio Multim?dia,16
2016-03-20,FTW.PRO,15,Imp?rio Multim?dia,19
2016-03-20,Aperture,17,Bravado,19
2016-03-20,Bravado,16,Aperture,2
2016-03-20,Imp?rio Multim?dia,9,AlienTech,16
2016-03-20,AlienTech,16,Imp?rio Multim?dia,12
2016-03-20,AlienTech,16,Imp?rio Multim?dia,14
2016-03-24,!nsurgents,16,@SNULLE,2
2016-03-24,Playing Ducks,16,Vacuous Baboons,4
2016-03-24,FAB,16,Ollebolle,0
2016-03-24,AfterClap,1,GamersLeague,16
2016-03-24,Space Soldiers,16,Telos,1
2016-03-24,Inside,3,eXtatus,16
2016-03-24,Recursive,16,fLYVERNE,0
2016-03-24,Aquiver.RED,16,Influx Nordic,0
2016-03-24,SvQmmerICruzares,2,Iwku,16
2016-03-24,Publiclir.se,16,Wicked,5
2016-03-24,Orbit,16,Skal du begraves?,11
2016-03-24,Dem Boyz,5,Flash,16
2016-03-24,Tricked,16,Tog,1
2016-03-24,aNimus,5,Heroic,16
2016-03-24,Plantronics,16,Tekweb,5
2016-03-24,Bar r?v og sandaler,8,n0_0rg,16
2016-03-24,WinOut,16,the pickles,2
2016-03-24,Epiphany Bolt,16,temporary,9
2016-03-24,Epsilon,16,walkover,8
2016-03-24,seven,6,Alpha,16
2016-03-24,naptoR.Factory,5,Fox Stratos,16
2016-03-24,SesiBaren,2,Preparation,16
2016-03-24,BX3,9,malefiQ,16
2016-03-24,Aquiver.BLU,19,hiddenOP,16
2016-03-24,WDHA,11,Krydsild,16
2016-03-24,Eastern Vikings,13,Fragsters,16
2016-03-24,Quantaya,16,Bananaboys,19
2016-03-24,OBEY,16,eNergy,14
2016-03-24,404OrgNotFound,16,FOXTROT,14
2016-03-24,WarMonkeys,17,Isak,19
2016-03-24,Tekweb,16,Influx Nordic,2
2016-03-24,Skal du begraves?,16,@SNULLE,1
2016-03-24,!nsurgents,5,Orbit,16
2016-03-24,Tog,3,aNimus,16
2016-03-24,seven,16,FOXTROT,1
2016-03-24,Recursive,2,Bananaboys,16
2016-03-24,Quantaya,16,fLYVERNE,2
2016-03-24,SesiBaren,4,naptoR.Factory,16
2016-03-24,walkover,3,Dem Boyz,16
2016-03-24,Space Soldiers,16,eXtatus,3
2016-03-24,Bar r?v og sandaler,16,temporary,4
2016-03-24,eNergy,16,WDHA,7
2016-03-24,Isak,3,Fragsters,16
2016-03-24,Epiphany Bolt,16,n0_0rg,9
2016-03-24,Wicked,16,Ollebolle,5
2016-03-24,Flash,8,Epsilon,16
2016-03-24,Tricked,16,Heroic,4
2016-03-24,BX3,16,the pickles,4
2016-03-24,GamersLeague,3,Iwku,16
2016-03-24,Vacuous Baboons,10,hiddenOP,16
2016-03-24,Alpha,16,404OrgNotFound,4
2016-03-24,Aquiver.RED,10,Plantronics,16
2016-03-24,OBEY,10,Krydsild,16
2016-03-24,Aquiver.BLU,12,Playing Ducks,16
2016-03-24,SvQmmerICruzares,16,AfterClap,13
2016-03-24,malefiQ,9,WinOut,16
2016-03-24,Inside,16,Telos,14
2016-03-24,Preparation,16,Fox Stratos,13
2016-03-24,Eastern Vikings,16,WarMonkeys,12
2016-03-24,Publiclir.se,19,FAB,15
2016-03-24,eXtatus,16,Inside,1
2016-03-24,n0_0rg,16,Bar r?v og sandaler,1
2016-03-24,Aquiver.RED,16,Tekweb,1
2016-03-24,naptoR.Factory,16,Fox Stratos,2
2016-03-24,GamersLeague,16,SvQmmerICruzares,6
2016-03-24,Dem Boyz,6,Flash,16
2016-03-24,Heroic,16,aNimus,11
2016-03-24,Skal du begraves?,16,!nsurgents,11
2016-03-24,Recursive,16,Quantaya,12
2016-03-24,Aquiver.BLU,16,hiddenOP,11
2016-03-24,BX3,16,malefiQ,6
2016-03-24,eNergy,7,OBEY,16
2016-03-24,seven,11,404OrgNotFound,16
2016-03-24,Isak,16,Eastern Vikings,14
2016-03-24,FAB,16,Wicked,6
2016-03-24,404OrgNotFound,16,Skal du begraves?,8
2016-03-24,404OrgNotFound,16,Skal du begraves?,11
2016-03-24,Bananaboys,16,naptoR.Factory,2
2016-03-24,naptoR.Factory,2,Bananaboys,16
2016-03-24,OBEY,1,Orbit,16
2016-03-24,Orbit,16,OBEY,3
2016-03-24,Epsilon,16,Heroic,6
2016-03-24,Epsilon,16,Heroic,8
