team,rank
fnatic,1
Luminosity,2
Natus Vincere,3
Astralis,4
Virtus.pro,5
EnVyUs,6
NiP,7
G2,8
Liquid,9
mousesports,10
dignitas,11
CLG,12
Cloud9,13
Tempo Storm,14
FaZe,15
FlipSid3,16
E-frag.net,17
Gambit,18
HellRaisers,19
AGG,20
Renegades,21
SK,22
OpTic,23
NRG,24
Selfless,25
Space Soldiers,26
CSGL,27
Splyce,28
GODSENT,29
ex-Publiclir,30
