team,rank
fnatic,1
Natus Vincere,2
EnVyUs,3
Astralis,4
Luminosity,5
Virtus.pro,6
NiP,7
FaZe,8
dignitas,9
mousesports,10
G2,11
Cloud9,12
Liquid,13
FlipSid3,14
OpTic,15
CLG,16
SK,17
E-frag.net,18
Renegades,19
Vexed,20
CSGL,21
HellRaisers,22
Gambit,23
Enemy,24
Immunity,25
CyberZen,26
Winterfox,27
ALTERNATE,28
CPH Wolves,29
TheMongolz,30
