date,team1,score1,team2,score2
2016-03-31 00:00:00,fnatic,16,FaZe,10
2016-03-31 00:00:00,CS-GO.rs,12,GameAgents,16
2016-03-31 00:00:00,ALTERNATE aTTaX,15,Torpedo,19
2016-03-31 00:00:00,ALTERNATE aTTaX,4,Torpedo,16
2016-03-31 00:00:00,Torpedo,17,ALTERNATE aTTaX,19
2016-03-31 00:00:00,NiP,16,mousesports,9
2016-03-31 00:00:00,mousesports,16,NiP,12
2016-03-31 00:00:00,NiP,16,mousesports,5
2016-03-31 00:00:00,Natus Vincere,16,Virtus.pro,4
2016-03-30 00:00:00,CLG,9,Astralis,16
2016-03-30 00:00:00,fnatic,19,Liquid,22
2016-03-30 00:00:00,Luminosity,16,NiP,5
2016-03-30 00:00:00,Cloud9,3,G2,16
2016-03-30 00:00:00,EnVyUs,13,Gambit,16
2016-03-30 00:00:00,GameAgents,16,XPC,9
2016-03-30 00:00:00,Deathtrap,16,TogetherAsOne,8
2016-03-30 00:00:00,FaZe,16,Splyce,3
2016-03-30 00:00:00,AGG,16,Method,5
2016-03-30 00:00:00,Method,16,AGG,8
2016-03-30 00:00:00,Method,1,AGG,16
2016-03-30 00:00:00,mousesports,31,FlipSid3,28
2016-03-30 00:00:00,Virtus.pro,16,G2,1
2016-03-29 00:00:00,Natus Vincere,16,Cloud9,9
2016-03-29 00:00:00,Gambit,10,Astralis,16
2016-03-29 00:00:00,EnVyUs,8,CLG,16
2016-03-29 00:00:00,fnatic,16,Splyce,5
2016-03-29 00:00:00,Liquid,16,FaZe,11
2016-03-29 00:00:00,Luminosity,16,mousesports,13
2016-03-29 00:00:00,NiP,19,FlipSid3,17
2016-03-28 00:00:00,RAIDERS,10,visomvet,16
2016-03-28 00:00:00,visomvet,16,RAIDERS,11
2016-03-28 00:00:00,CSGL,16,Ancient,8
2016-03-28 00:00:00,CSGL,19,Ancient,16
2016-03-28 00:00:00,RCTIC,15,Empire,15
2016-03-28 00:00:00,CPH Wolves,7,CSGL,16
2016-03-28 00:00:00,CPH Wolves,16,CSGL,6
2016-03-28 00:00:00,CPH Wolves,9,CSGL,16
2016-03-28 00:00:00,Millenium,16,LDLC Blue,12
2016-03-27 00:00:00,Rasta,16,PRIDE,5
2016-03-27 00:00:00,Rasta,16,PRIDE,12
2016-03-27 00:00:00,PRIDE,16,Rasta,14
2016-03-27 00:00:00,eXplosive,6,Ancient,16
2016-03-27 00:00:00,Ancient,16,eXplosive,5
2016-03-27 00:00:00,RB,11,TogetherAsOne,16
2016-03-27 00:00:00,LDLC Blue,16,Dead Pixels,5
2016-03-27 00:00:00,Ancient,16,Iwku,5
2016-03-27 00:00:00,Preparation,14,eXplosive,16
2016-03-27 00:00:00,iNation,7,aimclub,16
2016-03-27 00:00:00,Platinium,14,Millenium,16
2016-03-27 00:00:00,Millenium,16,Platinium,6
2016-03-27 00:00:00,Deathtrap,16,SuperMassive,3
2016-03-27 00:00:00,Millenium,16,LDLC Blue,14
2016-03-27 00:00:00,Millenium,16,LDLC Blue,10
2016-03-26 00:00:00,HellRaisers,16,E-frag.net,5
2016-03-26 00:00:00,E-frag.net,23,HellRaisers,25
2016-03-26 00:00:00,CLG Red,5,Secret fe,16
2016-03-26 00:00:00,CLG Red,1,Secret fe,16
2016-03-26 00:00:00,Arcade,16,Fluffy Gangsters,13
2016-03-26 00:00:00,Arcade,16,Fluffy Gangsters,3
2016-03-26 00:00:00,Exertus fe,9,Secret fe,16
2016-03-26 00:00:00,Exertus fe,14,Secret fe,16
2016-03-26 00:00:00,Millenium fe,10,CLG Red,16
2016-03-26 00:00:00,Millenium fe,8,CLG Red,16
2016-03-26 00:00:00,CLG Red,13,Millenium fe,16
2016-03-26 00:00:00,E-frag.net,16,Space Soldiers,4
2016-03-26 00:00:00,Space Soldiers,17,E-frag.net,19
2016-03-26 00:00:00,LGB fe,16,Exertus fe,19
2016-03-26 00:00:00,LGB fe,7,Exertus fe,16
2016-03-26 00:00:00,LDLC fe,1,CLG Red,16
2016-03-26 00:00:00,CLG Red,16,LDLC fe,8
2016-03-26 00:00:00,YP Ladies,3,Secret fe,16
2016-03-26 00:00:00,YP Ladies,9,Secret fe,16
2016-03-26 00:00:00,Millenium fe,16,Karma,8
2016-03-26 00:00:00,Millenium fe,16,Karma,7
2016-03-26 00:00:00,HellRaisers,16,Publiclir.se,10
2016-03-26 00:00:00,Publiclir.se,12,HellRaisers,16
2016-03-26 00:00:00,LDLC fe,16,doyoueven fe,12
2016-03-26 00:00:00,doyoueven fe,7,LDLC fe,16
2016-03-26 00:00:00,LDLC fe,14,doyoueven fe,16
2016-03-26 00:00:00,ALSEN fe,6,YP Ladies,16
2016-03-26 00:00:00,ALSEN fe,16,YP Ladies,11
2016-03-24 00:00:00,Orbit,9,Publiclir.se,16
2016-03-24 00:00:00,Preparation,16,404OrgNotFound,13
2016-03-24 00:00:00,404OrgNotFound,7,Preparation,16
2016-03-24 00:00:00,BX3,7,Space Soldiers,16
2016-03-24 00:00:00,BX3,10,Space Soldiers,16
2016-03-24 00:00:00,FAB,7,Fragsters,16
2016-03-24 00:00:00,Fragsters,16,FAB,7
2016-03-24 00:00:00,Plantronics,16,WinOut,8
2016-03-24 00:00:00,Plantronics,16,WinOut,5
2016-03-24 00:00:00,Iwku,16,Krydsild,5
2016-03-24 00:00:00,Krydsild,5,Iwku,16
2016-03-24 00:00:00,Epsilon,16,Isak,1
2016-03-24 00:00:00,Epsilon,16,Isak,4
2016-03-24 00:00:00,Alpha,16,Bananaboys,13
2016-03-24 00:00:00,Alpha,16,Bananaboys,14
2016-03-24 00:00:00,Alpha,12,Bananaboys,16
2016-03-24 00:00:00,ALTERNATE aTTaX,4,AGG,16
2016-03-24 00:00:00,AGG,16,ALTERNATE aTTaX,14
2016-03-24 00:00:00,ALTERNATE aTTaX,16,AGG,9
2016-03-24 00:00:00,Torpedo,16,k1ck,10
2016-03-24 00:00:00,k1ck,13,Torpedo,16
2016-03-24 00:00:00,CSGL,19,Escape,22
2016-03-24 00:00:00,Escape,8,CSGL,16
2016-03-24 00:00:00,CSGL,11,Escape,16
2016-03-24 00:00:00,XPC,12,Bpro,16
2016-03-24 00:00:00,neXtPlease!,11,aimclub,16
2016-03-24 00:00:00,Plantronics,16,n0_0rg,1
2016-03-24 00:00:00,Plantronics,16,n0_0rg,5
2016-03-24 00:00:00,Epiphany Bolt,14,BX3,16
2016-03-24 00:00:00,BX3,16,Epiphany Bolt,9
2016-03-24 00:00:00,BX3,14,Epiphany Bolt,16
2016-03-24 00:00:00,Tricked,12,FAB,16
2016-03-24 00:00:00,Tricked,6,FAB,16
2016-03-24 00:00:00,FAB,9,Tricked,16
2016-03-24 00:00:00,Publiclir.se,16,GamersLeague,6
2016-03-24 00:00:00,Publiclir.se,13,GamersLeague,16
2016-03-24 00:00:00,GamersLeague,7,Publiclir.se,16
2016-03-24 00:00:00,Aquiver.BLU,16,Krydsild,19
2016-03-24 00:00:00,Aquiver.BLU,7,Krydsild,16
2016-03-24 00:00:00,Fragsters,16,Aquiver.RED,6
2016-03-24 00:00:00,Aquiver.RED,14,Fragsters,16
2016-03-24 00:00:00,Playing Ducks,9,Isak,16
2016-03-24 00:00:00,Isak,16,Playing Ducks,11
2016-03-24 00:00:00,eXtatus,6,WinOut,16
2016-03-24 00:00:00,eXtatus,12,WinOut,16
2016-03-24 00:00:00,Recursive,11,Iwku,16
2016-03-24 00:00:00,Recursive,5,Iwku,16
2016-03-24 00:00:00,Flash,5,Space Soldiers,16
2016-03-24 00:00:00,Space Soldiers,16,Flash,7
2016-03-24 00:00:00,Epsilon,16,Heroic,8
2016-03-23 00:00:00,LDLC Blue,16,YP,10
2016-03-23 00:00:00,fnatic,16,FlipSid3,14
2016-03-23 00:00:00,E-frag.net,10,YP,16
2016-03-23 00:00:00,Empire,8,Planetkey,16
2016-03-23 00:00:00,Planetkey,12,Empire,16
2016-03-23 00:00:00,Planetkey,16,Empire,3
2016-03-23 00:00:00,CPH Wolves,10,LDLC Blue,16
2016-03-23 00:00:00,fnatic,16,FlipSid3,13
2016-03-23 00:00:00,Method,12,Orgless,16
2016-03-23 00:00:00,Fluffy Gangsters,14,CSGL,16
2016-03-23 00:00:00,Mist Globals,16,One,13
2016-03-23 00:00:00,Winterfox,12,NRG,16
2016-03-23 00:00:00,Splyce,6,Renegades,16
2016-03-23 00:00:00,h00liGaNz,12,Braindead,16
2016-03-23 00:00:00,Tempo Storm,6,CLG,16
2016-03-23 00:00:00,CLG,16,Tempo Storm,11
2016-03-23 00:00:00,Winterfox,10,NRG,16
2016-03-23 00:00:00,Renegades,16,Splyce,4
2016-03-23 00:00:00,Broken Alliance,16,TNT,4
2016-03-23 00:00:00,OpTic,14,Selfless,16
2016-03-23 00:00:00,Selfless,16,OpTic,10
2016-03-23 00:00:00,Rhythm,21,Insolent,15
2016-03-22 00:00:00,mousesports,10,dignitas,16
2016-03-22 00:00:00,mousesports,16,dignitas,19
2016-03-22 00:00:00,RB,9,Deathtrap,16
2016-03-22 00:00:00,HellRaisers,16,Ancient,9
2016-03-22 00:00:00,HellRaisers,16,Ancient,5
2016-03-22 00:00:00,Ancient,16,HellRaisers,13
2016-03-22 00:00:00,SuperMassive,7,iNation,16
2016-03-22 00:00:00,SK,16,FlipSid3,13
2016-03-22 00:00:00,Platinium,10,Orgless,16
2016-03-22 00:00:00,Platinium,14,Orgless,16
2016-03-22 00:00:00,PENTA,16,Epsilon,19
2016-03-22 00:00:00,Epsilon,16,PENTA,7
2016-03-22 00:00:00,Epsilon,3,PENTA,16
2016-03-22 00:00:00,CS-GO.rs,16,TogetherAsOne,13
2016-03-22 00:00:00,FlipSid3,16,SK,10
2016-03-22 00:00:00,eXtatus,16,Enso,19
2016-03-22 00:00:00,Enso,16,eXtatus,12
2016-03-22 00:00:00,ALTERNATE aTTaX,11,HellRaisers,16
2016-03-22 00:00:00,ALTERNATE aTTaX,10,HellRaisers,16
2016-03-22 00:00:00,ENCE,17,AGG,19
2016-03-22 00:00:00,AGG,16,ENCE,7
2016-03-22 00:00:00,VG.CyberZen,16,HG,14
2016-03-22 00:00:00,VG.CyberZen,16,HG,5
2016-03-22 00:00:00,EDG,16,AllGamers,5
2016-03-22 00:00:00,AllGamers,2,EDG,16
2016-03-22 00:00:00,compLexity,14,Winterfox,16
2016-03-22 00:00:00,Vault,9,NRG,16
2016-03-22 00:00:00,Vault,10,NRG,16
2016-03-24 00:00:00,Heroic,6,Epsilon,16
2016-03-24 00:00:00,OBEY,3,Orbit,16
2016-03-24 00:00:00,OBEY,1,Orbit,16
2016-03-24 00:00:00,naptoR.Factory,2,Bananaboys,16
2016-03-24 00:00:00,Bananaboys,16,naptoR.Factory,2
2016-03-24 00:00:00,404OrgNotFound,16,Skal du begraves?,11
2016-03-24 00:00:00,404OrgNotFound,16,Skal du begraves?,8
2016-03-24 00:00:00,AGG,4,Escape,16
2016-03-24 00:00:00,Wicked,6,FAB,16
2016-03-24 00:00:00,Isak,16,Eastern Vikings,14
2016-03-24 00:00:00,seven,11,404OrgNotFound,16
2016-03-24 00:00:00,OBEY,16,eNergy,7
2016-03-24 00:00:00,BX3,16,malefiQ,6
2016-03-24 00:00:00,hiddenOP,11,Aquiver.BLU,16
2016-03-24 00:00:00,Recursive,16,Quantaya,12
2016-03-24 00:00:00,!nsurgents,11,Skal du begraves?,16
2016-03-24 00:00:00,Heroic,16,aNimus,11
2016-03-24 00:00:00,Dem Boyz,6,Flash,16
2016-03-24 00:00:00,SvQmmerICruzares,6,GamersLeague,16
2016-03-24 00:00:00,naptoR.Factory,16,Fox Stratos,2
2016-03-24 00:00:00,Tekweb,1,Aquiver.RED,16
2016-03-24 00:00:00,Bar r?v og sandaler,1,n0_0rg,16
2016-03-24 00:00:00,eXtatus,16,Inside,1
2016-03-24 00:00:00,FAB,15,Publiclir.se,19
2016-03-24 00:00:00,Eastern Vikings,16,WarMonkeys,12
2016-03-24 00:00:00,Preparation,16,Fox Stratos,13
2016-03-24 00:00:00,Telos,14,Inside,16
2016-03-24 00:00:00,malefiQ,9,WinOut,16
2016-03-24 00:00:00,AfterClap,13,SvQmmerICruzares,16
2016-03-24 00:00:00,Playing Ducks,16,Aquiver.BLU,12
2016-03-24 00:00:00,OBEY,10,Krydsild,16
2016-03-24 00:00:00,Plantronics,16,Aquiver.RED,10
2016-03-24 00:00:00,Alpha,16,404OrgNotFound,4
2016-03-24 00:00:00,Vacuous Baboons,10,hiddenOP,16
